Region;State;Population;PopulationPrev
Тячів;Закарпатська;9127;9786
Буринь;Сумська;9031;11678
Чоп;Закарпатська;9018;8919
Монастирище;Черкаська;8970;9463
Андрушівка;Житомирська;8951;9890
Тлумач;Івано-Франківська;8885;8831
Кодима;Одеська;8860;9634
Ланівці;Тернопільська;8746;8680
Липовець;Вінницька;8691;9406
Білицьке;Донецька;8627;10093
Косів;Івано-Франківська;8621;8301
Ананьїв;Одеська;8563;9476
Заводське;Полтавська;8560;9024
Алупка;Автономна Республіка Крим;8528;9018
Рава-Руська;Львівська;8487;8070
Семенівка;Чернігівська;8486;9656
Буськ;Львівська;8484;8673
Вилкове;Одеська;8422;9260
Яремче;Івано-Франківська;8201;7850
Рогатин;Івано-Франківська;8000;8607
Заставна;Чернівецька;7985;8866
Південне;Харківська;7856;8516
Почаїв;Тернопільська;7834;8240
Новоселиця;Чернівецька;7714;8400
Вуглегірськ;Донецька;7671;10309
Новодружеськ;Луганська;7660;9025
Привілля;Луганська;7643;9004
Ржищів;Київська;7545;8447
Кипуче;Луганська;7465;9097
Ворожба;Сумська;7363;8384
Корець;Рівненська;7304;8649
Зоринськ;Луганська;7291;8838
Турка;Львівська;7207;7681
Середина-Буда;Сумська;7169;7511
Хоростків;Тернопільська;7034;7306
Шаргород;Вінницька;6981;7161
Молочанськ;Запорізька;6891;7964
Перемишляни;Львівська;6885;7565
Копичинці;Тернопільська;6869;7036
Зборів;Тернопільська;6816;7436
Перечин;Закарпатська;6720;7083
Кіцмань;Чернівецька;6603;7608
Старий Самбір;Львівська;6596;5706
Олександрівськ;Луганська;6596;7045
Судова Вишня;Львівська;6504;6668
Сколе;Львівська;6324;6742
Остер;Чернігівська;6295;7194
Галич;Івано-Франківська;6264;6495
Великі Мости;Львівська;6132;5925
Благовіщенське;Кіровоградська;6092;7526
Монастириська;Тернопільська;6065;6344
Моршин;Львівська;6013;6482
Чуднів;Житомирська;5814;6558
Залізне;Донецька;5567;6725
Шумськ;Тернопільська;5460;5161
Рудки;Львівська;5447;4942
Вашківці;Чернівецька;5405;5987
Дружба;Сумська;4997;5726
Міусинськ;Луганська;4732;6029
Святогірськ;Донецька;4630;5136
Добромиль;Львівська;4406;4976
Алмазна;Луганська;4299;5061
Вижниця;Чернівецька;4157;5021
Новий Калинів;Львівська;4123;3582
Хирів;Львівська;4056;4590
Скалат;Тернопільська;4020;4036
Комарно;Львівська;3841;3994
Бібрка;Львівська;3816;3980
Глиняни;Львівська;3165;3378
Підгайці;Тернопільська;2830;3280
Батурин;Чернігівська;2652;3078
Белз;Львівська;2352;2478
Устилуг;Волинська;2218;2283
Герца;Чернівецька;2113;2068
Берестечко;Волинська;1757;1904
Угнів;Львівська;1002;1021
Чорнобиль;Київська;0;0
Прип'ять;Київська;0
